@relation banana
@attribute At1 real[-3.09,2.81]
@attribute At2 real[-2.39,3.19]
@attribute Class {-1.0,1.0}
@inputs At1, At2
@outputs Class
@data
1.26,1.81,1.0
-0.11,1.52,-1.0
2.69,-1.02,1.0
-1.96,1.66,1.0
-1.93,2.36,-1.0
-2.18,0.55,1.0
0.69,-0.91,1.0
-0.89,-0.0,-1.0
0.88,-1.05,1.0
-1.85,1.71,1.0
1.98,0.95,-1.0
-0.95,-2.34,-1.0
0.93,-1.04,1.0
-2.87,1.4,-1.0
-0.08,0.11,-1.0
2.61,2.99,1.0
1.12,2.97,1.0
-2.41,2.35,-1.0
1.32,0.43,-1.0
-0.11,1.27,-1.0
-1.32,0.69,-1.0
-2.82,2.83,1.0
0.89,-1.17,-1.0
1.43,3.0,-1.0
1.04,2.75,-1.0
-2.03,-1.18,-1.0
0.81,-2.11,-1.0
2.01,2.73,-1.0
1.26,-2.19,-1.0
0.52,2.28,1.0
0.77,-2.05,-1.0
0.04,-1.13,1.0
2.75,0.6,1.0
-3.03,1.26,-1.0
0.65,-1.77,-1.0
-2.38,0.65,1.0
1.27,-2.03,1.0
-1.0,-1.22,-1.0
-1.13,1.86,1.0
-0.6,1.4,-1.0
2.64,2.46,-1.0
1.6,-0.65,-1.0
-0.75,-1.95,-1.0
-2.76,-0.04,1.0
2.8,2.2,1.0
1.11,1.39,1.0
-1.92,2.96,1.0
1.91,-0.87,1.0
0.93,1.6,-1.0
-0.06,2.78,-1.0
-0.64,-1.38,1.0
-0.24,-1.12,-1.0
2.38,1.4,1.0
-2.35,-1.64,-1.0
-2.51,3.18,-1.0
-2.75,2.75,-1.0
1.31,1.74,1.0
0.51,-1.67,-1.0
-1.71,-2.35,-1.0
0.98,-1.11,1.0
-2.45,-0.74,-1.0
-0.19,-2.04,1.0
1.28,-2.19,-1.0
0.94,-1.35,1.0
0.03,-0.29,1.0
1.96,-1.48,1.0
1.7,1.4,-1.0
2.45,0.74,1.0
-0.96,-2.12,-1.0
2.29,-2.33,1.0
-1.03,-0.17,1.0
-0.76,-1.91,1.0
-3.03,3.04,1.0
-0.74,-0.02,-1.0
1.92,2.19,1.0
2.05,2.3,1.0
-2.02,-0.5,-1.0
1.57,-0.85,-1.0
-0.4,2.75,-1.0
0.18,-1.18,1.0
0.35,-0.75,1.0
-0.26,1.55,-1.0
-0.64,-1.22,-1.0
2.19,0.87,-1.0
-2.44,2.77,1.0
-0.98,-0.58,1.0
0.13,-0.49,-1.0
-0.49,0.3,-1.0
-2.47,2.96,1.0
-2.77,0.78,-1.0
1.74,-1.09,1.0
2.32,-1.17,1.0
0.41,2.59,1.0
-0.41,0.99,-1.0
-2.48,-1.43,-1.0
2.35,0.71,1.0
1.03,0.91,1.0
1.27,1.08,1.0
1.17,-0.3,-1.0
-0.05,0.24,-1.0
0.35,-2.36,1.0
-2.7,-1.77,-1.0
0.78,1.75,-1.0
-1.23,0.62,1.0
-2.55,1.25,1.0
1.66,1.05,-1.0
1.89,2.64,1.0
2.05,-1.33,1.0
-2.59,0.39,1.0
-2.37,2.94,1.0
-1.92,2.56,1.0
1.98,3.14,-1.0
0.56,-2.32,1.0
2.77,0.53,1.0
-2.14,0.04,-1.0
2.45,-0.71,1.0
0.78,-0.99,-1.0
-3.04,1.43,-1.0
-0.3,0.19,1.0
1.88,-0.28,-1.0
-0.53,-1.7,1.0
-0.86,-0.17,-1.0
-2.12,1.41,-1.0
0.68,1.19,1.0
-1.08,1.33,1.0
-1.9,3.19,-1.0
-2.94,2.4,-1.0
-1.98,1.44,-1.0
1.95,-1.24,1.0
1.62,0.88,1.0
-2.27,-1.45,1.0
-0.65,0.38,-1.0
0.93,0.45,-1.0
-1.11,-1.76,1.0
-0.95,1.53,-1.0
-1.4,1.07,-1.0
0.47,0.64,-1.0
-1.12,-0.04,1.0
-0.45,-0.51,1.0
-2.01,1.87,1.0
-2.53,-0.42,-1.0
0.78,1.72,-1.0
-1.56,2.21,-1.0
1.1,-0.91,-1.0
-1.47,1.06,1.0
-2.52,-2.31,-1.0
0.0,2.57,-1.0
2.55,-1.82,1.0
1.7,-0.33,1.0
-2.79,0.89,1.0
-0.48,-0.4,1.0
1.59,-1.13,-1.0
1.12,0.68,1.0
0.09,3.11,1.0
-2.87,-1.51,-1.0
-2.17,2.52,-1.0
1.45,-2.03,1.0
0.83,-0.67,-1.0
-0.6,0.37,-1.0
2.39,0.6,1.0
-2.88,1.48,-1.0
0.7,1.63,-1.0
-0.72,0.88,1.0
0.95,-1.38,-1.0
2.75,-0.26,1.0
-0.83,3.14,-1.0
0.26,-1.82,1.0
-2.19,0.52,-1.0
0.19,0.01,1.0
1.48,1.18,1.0
-2.44,0.2,-1.0
-2.36,-1.74,1.0
-2.63,2.37,1.0
-0.7,-1.4,1.0
2.3,0.39,1.0
1.14,-0.9,-1.0
0.13,-1.28,1.0
-1.64,1.31,-1.0
2.69,-1.26,1.0
-2.75,-1.06,1.0
-1.19,-1.43,-1.0
-1.45,-0.97,1.0
-1.7,0.84,-1.0
-0.13,-1.25,1.0
1.49,2.18,-1.0
1.62,1.52,1.0
-1.52,-0.5,-1.0
-0.17,2.52,-1.0
0.16,2.99,1.0
0.4,-1.09,-1.0
-1.65,-1.96,-1.0
-0.7,2.49,-1.0
-0.86,2.93,-1.0
-1.75,1.09,-1.0
1.86,2.7,1.0
-1.8,2.01,-1.0
1.04,0.47,1.0
0.87,-2.05,-1.0
-0.51,2.93,-1.0
-2.77,1.12,1.0
