@relation banana
@attribute At1 real[-3.09,2.81]
@attribute At2 real[-2.39,3.19]
@attribute Class {-1.0,1.0}
@inputs At1, At2
@outputs Class
@data
99.86,99.0,1.0
0.6,2.36,-1.0
102.06,100.45,1.0
-1.04,-0.93,-1.0
97.96,99.99,1.0
-0.67,-1.74,-1.0
102.04,101.58,1.0
-1.7,0.22,-1.0
97.67,102.38,1.0
-1.95,-2.1,-1.0
99.03,98.19,1.0
-1.05,0.68,-1.0
101.85,98.0,1.0
0.86,1.88,-1.0
97.24,101.41,1.0
2.28,0.26,-1.0
98.89,102.28,1.0
2.39,0.76,-1.0
99.68,100.94,1.0
2.77,0.26,-1.0
98.42,99.02,1.0
-1.11,2.36,-1.0
102.37,99.11,1.0
1.16,-2.16,-1.0
100.68,101.73,1.0
1.76,0.41,-1.0
98.53,101.17,1.0
-2.62,0.65,-1.0
97.42,98.16,1.0
1.45,1.23,-1.0
101.05,98.83,1.0
2.37,2.2,-1.0
99.97,102.94,1.0
2.13,-1.93,-1.0
100.61,100.31,1.0
-0.5,2.14,-1.0
102.76,102.42,1.0
-2.62,0.13,-1.0
100.33,97.87,1.0
0.38,3.06,-1.0
101.34,103.12,1.0
0.17,2.38,-1.0
98.94,100.25,1.0
2.66,-1.04,-1.0
97.15,99.28,1.0
1.12,2.4,-1.0
96.95,100.35,1.0
-1.79,0.37,-1.0
98.32,103.14,1.0
0.08,2.04,-1.0
96.91,103.06,1.0
-0.45,3.1,-1.0
102.78,97.62,1.0
0.19,1.04,-1.0
